29.04.2018;Уробо́рос;NULL;NULL;<p>свернувшийся в кольцо змей, кусающий себя за хвост. Является одним из древнейших символов, известных человечеству.</p><p>Несмотря на то, что символ имеет множество различных значений, наиболее распространённая трактовка описывает его как репрезентацию вечности и бесконечности, в особенности — циклической природы жизни: чередования созидания и разрушения, жизни и смерти, постоянного перерождения и умирания.</p>;NULL
29.04.2018;Уробо́рос;NULL;NULL;<p>свернувшийся в кольцо змей, кусающий себя за хвост. Является одним из древнейших символов, известных человечеству.</p><p>Несмотря на то, что символ имеет множество различных значений, наиболее распространённая трактовка описывает его как репрезентацию вечности и бесконечности, в особенности — циклической природы жизни: чередования созидания и разрушения, жизни и смерти, постоянного перерождения и умирания.</p>;NULL
30.04.2018;Раскряжевка;NULL;NULL;<p>распиловка древесины перпендикулярно основному направлению волокон.</p>;NULL
01.05.2018;Фо́рвардер;NULL;NULL;<p>транспортное средство, осуществляющее сбор, подсортировку и доставку сортиментов от места заготовки до склада.</p>;NULL
02.05.2018;Ски́ддер;трелёвочный трактор;NULL;<p>трелёвочный трактор, предназначеный для транспортировки поваленных деревьевот места заготовки к месту разделки либо на склад.</p>;NULL
03.05.2018;Ха́рвестер;NULL;англ. harvester, от harvest «собирать урожай»;<p>многооперационная лесосечная машина, предназначенная для валки, ​обрезки сучьев, раскряжевки и пакетирования сортиментов на лесосеке.</p>;NULL
04.05.2018;Сплог;NULL;англ. splog, неологизм от англ. spam blog — спам-блог;<p>блог (интернет-дневник), содержащий поисковый спам.</p>;NULL
05.05.2018;Лепидоптерология;NULL;от др.-греч. λεπίς (родительный падеж λεπίδος) — чешуя, πτερόν — крыло и λόγος — учение.;<p>наука о бабочках (раздел энтомологии, изучающий чешуекрылых), а также коллекционирование бабочек. Соответственно, люди, коллекционирующие и изучающие бабочек, называются лепидоптерологами.</p>;NULL
06.05.2018;Шре́дер;NULL;англ. shredder — измельчатель, кромсатель;<p>Шредер — устройство для измельчения частных или конфиденциальных документов в очень мелкие полоски или крошечные кусочки.</p>;NULL
07.05.2018;Флипкап и твисткап;NULL;NULL;<p>названия крышек на картонных пакетах. Флипкап — прямоугольная крышечка, поднимая вертикально, аналогично тому, как раскрываются мобильные телефоны-раскладушки. Флипкап можно встретить на пакетах молока. Твисткап — отворачивающаяся крышка на пакетах с соками и нектарами.</p>;NULL
08.05.2018;Фэтбайк;фатбайк;англ. fat-bike от fat — «толстый»;<p>велосипед на толстых покрышках c низким (от 0,2 до 2 атм.) давлением в камерах. Обладает повышенной проходимостью по различным типам рыхлых поверхностей (снег, песок, высокая трава и т.п.).</p>;NULL
09.05.2018;Та́йтсы;NULL;NULL;<p>спортивные облегающие штаны, выполненные из эластичной ткани и имеющие свойства компрессионного белья.</p>;NULL
10.05.2018;Сортиме́нт;сортаме́нт;от франц. assortiment «ассортимент»;<p>преимущественно в деревообрабатывающей промышленности​: вид, сорт, тип, размер каких-л. однородных изделий или ​материалов.</p>;NULL
11.05.2018;Финляндизация;NULL;NULL;<p> (в политологии, c ~1960-х гг.) политика осторожного нейтралитета и мелких уступок, которой придерживается небольшая страна по отношению к могущественному соседу.</p>;NULL
12.05.2018;Дели́стинг;NULL;NULL;<p>Исключение ценных бумаг из котировального списка (списка торговли) фондовой биржи.</p>;NULL
13.05.2018;Каомодзи ;NULL;NULL;<p>пиктограммы, составленные из типографских знаков и схематически изображающие эмоции, жесты, мимику ориентируясь на образы, взятые из аниме и манги, одна из разновидностей эмотиконов.</p>;NULL
14.05.2018;Бирдекель ;ко́стер,  би́рмат; нем. Bierdeckel "Пивная крышка";<p>подставка под кружку, предназначенная для защиты стола от царапин и капель пивной пены. Ставится под пивную кружку на открытом воздухе, например в летних кафе. Распространено ошибочное мнение, что бирдекель - это крышка для предотвращения попадания в пивную кружку листьев, насекомых и других посторонних предметов, хотя и такое использование возможно. Изготавливается из специального влаго-впитывающего (гигроскопичного) картона. Толщина колеблется от 0,9 до 2,5 мм, вес от 5 до 10 г. Бирдекель является одноразовым продуктом.</p>;NULL
15.05.2018;Декроттуа́р;NULL;от фр. Decrottoir;<p>приспособление для очистки обуви от грязи и снега, располагающееся у входа в дом. В простейшем исполнении представляет собой скобу, вбитую в землю у входной двери или размещенную на крыльце.<p/><p>В XIX веке были широко распространены во многих странах, особенно там, где глинистые почвы способствовали постоянному загрязнению обуви. Руководства для молодых мужей включали указание пользоваться декроттуаром, чтобы не нести грязь на ботинках в дом и тем самым облегчить труд жены по его уборке.</p>;NULL
16.05.2018;Лизи́метр;NULL;от др.-греч. λύσις «развязывание, разрешение, освобождение, растворение» + μετρέω «измеряю», μέτρον «мера»;<p>Прибор или сооружение для определения количества просочившейся воды через тот или иной слой почвы. Используется для слежения за динамикой и характером поступления влаги в почву, изменением химического состава почвенных растворов, в том числе под воздействием различных факторов (минеральных и органических удобрений, методов и способов орошения, характера поступления атмосферных осадков, а также в зависимости от особенностей фитоценоза).</p>;NULL
17.05.2018;Моп ;NULL;NULL;<p>текстильная моечная насадка на швабру, плетение нитей которой позволяет и подметать, и мыть одновременно.</p>;NULL
18.05.2018;Консилер;NULL;NULL;<p>Маскирующее средство, корректор. Скрывает мелкие недостатки на лице (пигментные пятна, прыщики, покраснения, круги под глазами, мимические морщинки), не устраняя причины этих проблем кожи.</p>;NULL
19.05.2018;Тр́атта;переводно́й ве́ксель;от итал. tratta;<p>письменный приказ одного лица (трассанта) другому лицу (трассату) уплатить определенную суммы денег третьему лицу, переводный вексель.</p>;NULL
20.05.2018;Газго́льдер;NULL;англ. gas-holder;<p>резервуар для хранения газообразных веществ, таких как природный газ, биогаз, сжиженный нефтяной газ, воздух и т.д.</p>;NULL
21.05.2018;Конволю́т;NULL;Происходит от лат. convolutus «свернутый, сплетённый»;<p>объединение под одним переплетом тематически однородных изданий и/или рукописей.</p>;NULL
22.05.2018;Ликантропия;Волк-о́боротень, верво́льф;(англ. werewolf), ликантроп;<p>Психическое заболевание (клиническая ликантропия), при котором больной считает себя волком, оборотнем или другим животным. Мифическая болезнь, вызывающая метаморфозы в теле, в ходе которых больной превращается в волка, один из вариантов териантропии — трансформации человека в животное в мифологии и спиритизме.</p>";NULL
23.05.2018;Кренгование;NULL;NULL;<p>наклон судна без выхода киля из воды, применяемый для чистки подводной части от обрастаний: ракушек и т.п., и для мелкого ремонта обшивки корпуса, разновидность килевания.</p>;NULL
24.05.2018;Алигат;NULL;NULL;<p>объединение под одним переплетом составных частей одного произведения, вышедших в разное время.</p>;NULL
25.05.2018;Экологи́ст;NULL;NULL;<p>лицо, озабоченное экологическими проблемами, вне зависимости от специальности, образования и социальной принадлежности.</p>;NULL
26.05.2018;Краудсо́рсинг;NULL;англ. crowdsourcing, crowd — «толпа» и sourcing — «использование ресурсов»;<p>передача частным лицом или компанией некоторых бизнес-процессов или производственных функций группе людей, как правило, не специализирующихся в соответствующей области. Краудсорсинг можно описать иначе: люди собираются ради какого-то дела, объединяют свои ресурсы и достигают цели. Массовый аутсорсинг.</p>;NULL
27.05.2018;Пу́тти;Пу́тто;итал. putto «маленький мальчик»;<p>Дополняющие композицию изображения эротов (амуров), гениев или ангелов в виде обнаженных (часто крылатых) мальчиков.</p>;NULL
28.05.2018;Идору;NULL;NULL;<p>В японской поп-культуре: медиа-персона, идеал и недосягаемый предмет любви поклонников. Термин подразумевает невинную привлекательность, способность вызывать восхищение и влюблять в себя.</p>;NULL
29.05.2018;Дисани́я ;NULL;NULL;<p>такое состояние человека, при котором он неспособен быстро просыпаться и приступать к обычной деятельности.</p>;NULL
30.05.2018;Геокэшинг;NULL;англ. geocaching;<p>игра с применением спутниковых навигационных систем, состоящая в нахождении тайников, спрятанных другими участниками.</p>;NULL
31.05.2018;Танорексия ;NULL;от английского tan — «загар»;<p>психологическая зависимость человека от ультрафиолетовых лучей.</p>;NULL
01.06.2018;Реклинатор ;NULL;NULL;<p>корсет-корректор из эластичной ткани на верхне-грудной отдел позвоночника, использующийся для разведения плеч и выработки правильного стереотипа осанки.</p>;NULL
02.06.2018;Грифонаж ;NULL;от фр. griffonage;<p>беглые, импровизированные наброски, создаваемые человеком несфокусированно или бессознательно, когда его внимание занято какими-то другими вопросами.</p>;NULL
03.06.2018;Флейринг ;NULL;англ. flairing;<p>приготовление коктейлей барменом, сопровождаемое элементами жонглирования.</p>;NULL
04.06.2018;Чэбо́ль;NULL;кор. 재벌?, 財閥?, чэболь;<p>семейный многопрофильная промышленная группа (холдинг). Слово используется для обозначения ряда холдингов в Южной Корее, для наименования аналогичных промышленных групп в Японии используется слово дзайбацу.</p>;NULL
05.06.2018;Бу́ллинг;NULL;англ. bullying;<p>действие (угроза, насмешка и т.п.), которое способно  напугать, унизить и/или иным образом негативно воздействовать на человека. Кибербуллинг — буллинг в Интернете или совершаемый с помощью иных электронных устройств, наподобие сотового телефона.</p>;NULL
06.06.2018;Джентрифика́ция ;NULL;англ. gentrification;<p>вытеснение существующего небогатого населения в некотором «запущенном» районе новыми, более обеспеченными жильцами.</p>;NULL
07.06.2018;Порро́н ;NULL;исп. Porrón, кат. Porró;"<p>стеклянный графин особой, слегка искривленной формы с длинным носиком, широким у основания и сильно сужающимся к кончику. По традиции, вино из поррона пьют, наклонив его так, чтобы содержимое начало литься из горлышка, и, постепенно отдаляя поррон от лица вверх, направляют винную струю в рот:</p>";NULL
08.06.2018;Коагулограмма;гемостазиограмма;NULL;<p>результаты анализа свёртываемости крови пациента (диагностики тромбообразования в крови или плазме крови).</p>;NULL
09.06.2018;Сава́т;французский бокс;фр. Savate;<p>(французский бокс, европейский кикбоксинг, бокс ногами) — вид спортивного единоборства и система самообороны. Арсенал используемых приемов включает как ударную технику (ногами, коленями, руками), так и всевозможные захваты, заломы, броски и болевые замки.</p>;NULL
10.06.2018;Репрогра́фия ;NULL;от лат. re- — пере-, обратно, лат. producere — производить, создавать;<p>обобщенное название способов копирования и размножения документов неполиграфическими методами: фотографирование, микрофильмирование, свето- и термокопирование и др.</p>;NULL
11.06.2018;Фа́була;NULL;от лат. fabula — «предание, басня, сказка, рассказ»;<p>сюжетная основа, канва художественного произведения, расстановка и связь в нем лиц и событий.</p><p>Фабула может отличаться от сюжета, например, порядком повествования (события располагаются не в той последовательности, в какой они происходят в жизни героев, а с перестановками, пропусками, последующими узнаваниями). С помощью фабульных приёмов писатель стимулирует интерес к развитию событий, углубляет анализ характеров героев, усиливает пафос произведения.</p>;NULL
12.06.2018;Билингви́зм;двуязычие;NULL;<p>способность объясняться на двух языках.</p><p>Людей, владеющих двумя языками, называют билингвами, более двух — полилингвами, более шести — полиглотами.</p>;NULL
13.06.2018;Холива́р;NULL;от англ. holy war — «священная война»;<p>общее название споров между людьми, являющимися приверженцами диаметрально противоположных мнений, которые они не желают менять.</p><p>Примеры тем для холиваров: что лучше, рок или рэп, Canon или Nikon, Xbox или PlayStation?</p>;«Холивар — это спор двух дураков, пытающихся доказать друг другу, что обувь именно его размера лучше для другого.»
14.06.2018;Пинья́та;NULL;NULL;<p>игра, в которой участники с завязанными глазами пытаются разбить картонную или глиняную фигуру, в которой спрятан приз (конфеты, фрукты, орехи). Также — сама такая фигура.</p><p>Пиньята очень популярна в странах Латинской Америки, там в нее играют на всех детских торжествах, а в последние 50 лет эти традиции распространились и в Северной Америке.</p>;NULL
15.06.2018;Скабрёзный;NULL;NULL;<p>неприличный, непристойный, пошлый, сальный (например, <i>скабрезный анекдот, скабрезные шуточки</i>).</p>;«Одну арию, довольно скабрёзного содержания, героиня сопровождала уж очень смелыми жестами.» А. Островский,
16.06.2018;Ренега́т;NULL;NULL;<p>тот, кто изменил своим убеждениям и перешел в лагерь противников. Вероотступник, изменник.</p><p>В Европе Средних веков и Нового времени термин означал христианина, перешедшего на сторону мусульман и принявшего ислам.</p>;NULL
17.06.2018;Патети́ческий;NULL;от фр. pathétique — «страсть»;<p>страстный, взволнованный, преисполненный пафоса.</p><p>Пате*тика — наличие патетического тона, патетического элемента в чем-нибудь (нарпимер, <i>патетические возгласы, патетика ораторской речи.</i>).</p>;NULL
18.06.2018;Конопа́тый;NULL;NULL;<p>веснушчатый или рябой от оспы (о лице или о человеке с таким лицом).</p><p>Слово «конопатый» произошло от слова «конопля» — ввиду цветового сходства веснушек с семенами конопли.</p>;NULL
19.06.2018;Рандеву́;NULL;от фр. rendez-vous — букв. «приходите, явитесь»;<p>условленное свидание (обычно любовного характера), встреча. Часто употребляется с оттенком иронии. Например, <i>«Я и сам получил приглашение на рандеву от некой Аннушки.» Салтыков-Щедрин.</i></p><p>Также, рандеву — место, назначенное для встречи судов в море, а также сама встреча.</p>;NULL
20.06.2018;Апо́криф;NULL;NULL;<p>сочинение, предполагаемое авторство которого не подтверждено или маловероятно, а также  литературное произведение, созданное на основе другого.</p><p>Кроме того, апокрифами называют древние произведения с библейским сюжетом, содержащее отступление от официального вероучения и потому отвергаемое церковью.</p>;NULL
21.06.2018;Абсентеи́зм;NULL;от лат. absens (absentis) — «отсутствующий»;<p>уклонение избирателей от участия в голосовании на выборах.</p><p>В общем случае термин обозначает уклонение от обязанностей.  В сфере трудовых отношений применяется для обозначения явления частого отсутствия работника на своем месте, зачастую без уважительной причины.</p>;NULL
22.06.2018;Ра́йдер;NULL;NULL;<p>перечень условий и требований, предъявляемых артистом или музыкантом к организаторам выступлений.</p><p>Даже самые странные требования, как правило, объясняются какими-то неудобствами, возникшими на предыдущих концертах. «Не годится фастфуд» может означать, что нужна разнообразная и питательная еда, бутилированная вода — чтобы исключить отрицательную реакцию организма на местную водопроводную. Белая мебель — чтобы было видно, что гостиница в хорошем санитарном состоянии, ведь в частых переездах даже обычный насморк вылечить трудно.</p>;В райдере группы Van Halen было требование — тарелка M&M’s без коричневых конфет, иначе выступление не состоится. Купить несколько пачек и отсортировать их — работа несложная, но если её не выполнили, музыканты начинали подозревать, что более важные пункты райдера тоже выполнены халатно.
23.06.2018;Миа́зм;миа́зма;от греч. μίασμα — «загрязнение, скверна»;<p>устаревший медицинский термин, которым вплоть до конца XIX века обозначались обитающие в окружающей среде «заразительные начала», о природе которых ничего не было известно.</p><p>До открытия болезнетворных микроорганизмов некоторые врачи полагали, что причинами заразных болезней могут быть продукты гниения, содержащиеся в почве, воде (особенно болотной), отходах жизнедеятельности и т. п. Считалось, что испаряясь из очагов своего образования, миазмы проникают в воздух и таким образом попадают в организм человека, вызывая в нем болезнь.</p>;NULL
24.06.2018;Реципие́нт;NULL;NULL;<p>это объект, получающий или принимающий что-либо от другого объекта, называемого донором.</p><p>Например, в медицине реципиентом крови или органов называется пациент, получивший переливание крови от донора или подвергнутый операции пересадки органа от донора. Также реципиентом именуется клетка, получающая генетический материал от другой клетки.</p>;NULL
25.06.2018;Аутле́т;NULL;NULL;<p>формат торгового центра, специализирующегося на продаже брендов одежды со значительными скидками.</p><p>В аутлетах распродают залежи товаров на фабриках и заводах производителей, а также нераскупленные вещи из бутиков и брендовых магазинов.</p>;NULL
26.06.2018;Сомелье́;NULL;NULL;<p>работник ресторана, ответственный за приобретение, хранение вин и представление их клиенту.</p><p>Сомелье составляет винную карту, занимается дегустацией вин и даёт рекомендации по выбору напитков посетителям ресторана.</p><p>В Средние века во Франции при королевском дворе «сомелье» назывался слуга, который отвечал за транспортировку багажа, а позже за бельё, посуду, провизию и винный погреб.</p>;NULL
27.06.2018;Нувори́ш;NULL;от фр. nouveau riche — «новый богач»;<p>быстро разбогатевший человек, пробившийся в высшие слои общества (как правило, в период социальных перемен), богач-выскочка.</p><p>Появление этого термина соотносится с буржуазными революциями в Европе. Слово изначально имело оттенок пренебрежения аристократии к культурному уровню и манерам новых «выскочек», происходивших, главным образом, из неаристократической среды.</p>;Примерами нуворишей в современной России можно считать «новых русских», стремительно разбогатевших после распада Советского Союза.
28.06.2018;Ортодокса́льный;NULL;NULL;<p>последовательно и неуклонно придерживающийся основ какого-либо учения, мировоззрения, каких-либо взглядов.</p><p>В христианстве «ортодоксия» предполагает неуклонное следование догматам веры, основам вероучения и основным традициям, при этом внешние стороны обрядовой стороны и малозначащие местные традиции могут изменяться.</p>;NULL
29.06.2018;Таймла́пс;NULL;NULL;<p>ролик, смонтированный из множества фотографий, сделанных с определенным интервалом и как правило с одной и той же точки.</p><p>В науке применяется для исследования медленно протекающих процессов, а в научно-популярном кино и учебных фильмах — для наглядной демонстрации таких процессов.</p>;NULL
30.06.2018;Коше́рный;NULL;NULL;<p>отвечающий требованиям кашрута — системе иудаистских религиозных законов.</p><p>У иудеев существуют правила, касающиеся кошерной пищи: например, мясные продукты нельзя есть вместе с молочными продуктами, нельзя употреблять свинину и др.</p><p>В переносном значении «кошерность» приобрело смысл одобрения, соответствия правилам (например, <i>Internet Explorer — некошерный браузер</i>). </p>;NULL
01.07.2018;Жема́нный;NULL;NULL;<p>лишенный простоты и естественности, манерный, кокетливый.</p>;«Я никогда не замечал в ней ничего натянутого, неестественного, жеманного.» И. С. Тургенев…
02.07.2018;Гегемо́ния;NULL;NULL;<p>первенствующее положение, превосходство в силе и влиянии, руководящая роль.</p><p>Как пример можно привести провинцию в федерации (королевство Пруссия в Германской империи) или человека в учреждении (Наполеон I во Французском консулате). Начиная с XIX века, особенно в исторической публицистике, «гегемония» обозначает верховенство одного государства над другим (например европейская гегемония Первой Французской Империи).</p>;NULL
